Percent Black or African American alone,Percent White,Percent Hispanic or Latino,Share of properties at risk of flood in 30 years,Percent pre-1960s housing (lead paint indicator),Share of the tract's land area that is covered by impervious surface or cropland as a percent,Percent of individuals < 100% Federal Poverty Line
0.01,0.9,0.04,28.0,69.0,3490.0,4.0
0.26,0.54,0.05,17.0,15.0,5513.0,15.0
0.03,0.91,0.01,15.0,44.0,2355.0,5.0
0.0,0.97,0.01,23.0,67.0,1995.0,3.0
0.4,0.57,0.01,14.0,8.0,1164.0,7.0
0.0,0.96,0.0,14.0,25.0,890.0,2.0
0.03,0.92,0.0,7.0,12.0,1158.0,5.0
0.59,0.3,0.07,18.0,65.0,4167.0,29.0
0.11,0.81,0.06,19.0,28.0,1507.0,9.0
0.59,0.37,0.0,17.0,17.0,811.0,19.0
0.57,0.34,0.07,9.0,2.0,1323.0,14.0
0.08,0.87,0.02,11.0,5.0,827.0,8.0
0.14,0.78,0.03,17.0,10.0,3196.0,6.0
0.01,0.92,0.0,14.0,16.0,1382.0,2.0
0.2,0.77,0.0,13.0,4.0,281.0,7.0
0.23,0.65,0.02,11.0,0.0,599.0,7.0
0.33,0.61,0.04,22.0,19.0,788.0,5.0
0.19,0.79,0.01,14.0,9.0,299.0,13.0
0.77,0.14,0.06,13.0,15.0,1546.0,25.0
0.42,0.54,0.02,15.0,2.0,1062.0,6.0
0.68,0.22,0.02,9.0,19.0,2021.0,25.0
0.58,0.3,0.1,14.0,1.0,1991.0,35.0
0.16,0.68,0.1,12.0,17.0,254.0,16.0
0.04,0.92,0.0,9.0,14.0,557.0,8.0
0.06,0.91,0.0,7.0,19.0,407.0,12.0
0.0,0.96,0.0,9.0,17.0,621.0,9.0
0.12,0.84,0.0,17.0,19.0,169.0,11.0
0.16,0.75,0.04,7.0,17.0,1439.0,9.0
0.02,0.96,0.0,8.0,10.0,334.0,9.0
0.03,0.86,0.08,6.0,12.0,632.0,11.0
0.01,0.92,0.06,12.0,13.0,169.0,10.0
0.62,0.29,0.04,10.0,14.0,2278.0,26.0
0.78,0.18,0.0,13.0,29.0,2106.0,34.0
0.82,0.16,0.01,16.0,28.0,2597.0,19.0
0.29,0.43,0.28,17.0,35.0,1743.0,39.0
0.89,0.05,0.02,13.0,14.0,1434.0,17.0
0.44,0.49,0.04,13.0,18.0,730.0,8.0
0.37,0.51,0.01,7.0,10.0,1574.0,7.0
0.55,0.42,0.01,9.0,28.0,1068.0,15.0
0.42,0.55,0.0,10.0,30.0,623.0,18.0
0.21,0.75,0.01,27.0,26.0,129.0,8.0
0.09,0.85,0.01,10.0,24.0,174.0,14.0
0.47,0.5,0.0,6.0,15.0,1058.0,4.0
0.66,0.32,0.0,5.0,10.0,1598.0,2.0
0.87,0.06,0.03,9.0,16.0,2320.0,4.0
0.64,0.29,0.0,8.0,41.0,1157.0,16.0
0.41,0.52,0.0,8.0,23.0,442.0,16.0
0.35,0.59,0.0,14.0,52.0,966.0,27.0
0.35,0.6,0.0,18.0,54.0,2105.0,13.0
0.25,0.54,0.1,12.0,10.0,1381.0,12.0
0.08,0.82,0.0,6.0,1.0,998.0,3.0
0.11,0.86,0.0,14.0,10.0,397.0,1.0
0.0,0.95,0.0,18.0,22.0,2639.0,6.0
0.03,0.9,0.01,8.0,7.0,2040.0,7.0
0.01,0.94,0.03,9.0,38.0,2384.0,2.0
0.14,0.74,0.05,18.0,9.0,2438.0,5.0
0.25,0.69,0.01,10.0,5.0,2160.0,5.0
0.34,0.41,0.22,13.0,3.0,4648.0,8.0
0.09,0.83,0.02,12.0,0.0,2930.0,6.0
0.0,0.96,0.01,7.0,10.0,1358.0,4.0
0.51,0.32,0.13,12.0,0.0,4401.0,9.0
0.41,0.25,0.2,6.0,2.0,3979.0,13.0
0.03,0.9,0.0,13.0,7.0,2109.0,10.0
0.06,0.79,0.08,5.0,23.0,3045.0,4.0
0.89,0.01,0.07,16.0,44.0,2697.0,36.0
0.95,0.01,0.03,15.0,33.0,3159.0,36.0
0.89,0.05,0.04,16.0,60.0,3502.0,26.0
0.73,0.05,0.15,17.0,46.0,2805.0,25.0
0.89,0.08,0.03,12.0,29.0,3320.0,13.0
0.78,0.11,0.07,22.0,59.0,3093.0,30.0
0.8,0.11,0.07,42.0,56.0,3385.0,26.0
0.72,0.26,0.0,17.0,45.0,3538.0,17.0
0.53,0.46,0.0,17.0,51.0,3473.0,13.0
0.0,0.94,0.02,7.0,28.0,472.0,8.0
0.2,0.78,0.0,8.0,14.0,539.0,4.0
0.05,0.91,0.02,17.0,25.0,117.0,12.0
0.48,0.46,0.04,14.0,22.0,1383.0,13.0
0.74,0.23,0.0,11.0,13.0,2791.0,10.0
0.31,0.64,0.0,8.0,6.0,709.0,5.0
0.21,0.68,0.02,12.0,6.0,1511.0,2.0
0.32,0.65,0.0,11.0,39.0,1399.0,15.0
0.36,0.49,0.06,9.0,7.0,1234.0,10.0
0.18,0.62,0.04,6.0,11.0,2465.0,5.0
0.26,0.65,0.03,5.0,12.0,2072.0,15.0
0.18,0.77,0.0,10.0,6.0,1923.0,3.0
0.32,0.46,0.07,13.0,0.0,5422.0,12.0
0.02,0.94,0.01,13.0,6.0,2708.0,3.0
0.17,0.66,0.01,10.0,2.0,2581.0,5.0
0.01,0.95,0.01,10.0,31.0,1936.0,3.0
0.08,0.76,0.04,5.0,0.0,2105.0,5.0
0.09,0.87,0.01,17.0,18.0,576.0,30.0
0.11,0.86,0.0,13.0,23.0,451.0,19.0
0.11,0.84,0.03,16.0,25.0,423.0,11.0
0.19,0.72,0.02,14.0,49.0,2558.0,43.0
0.18,0.81,0.0,5.0,32.0,1798.0,36.0
0.9,0.04,0.04,13.0,61.0,1865.0,51.0
0.14,0.78,0.03,8.0,39.0,1195.0,25.0
0.2,0.74,0.0,10.0,62.0,4051.0,35.0
0.22,0.5,0.25,8.0,53.0,3355.0,30.0
0.17,0.69,0.07,5.0,42.0,1644.0,22.0
0.22,0.72,0.04,6.0,9.0,4157.0,24.0
0.26,0.64,0.04,11.0,35.0,2500.0,22.0
0.08,0.87,0.0,6.0,6.0,1419.0,7.0
0.07,0.86,0.02,9.0,10.0,2263.0,7.0
0.08,0.9,0.0,11.0,20.0,5133.0,9.0
0.0,0.95,0.01,25.0,13.0,319.0,13.0
0.0,0.94,0.04,10.0,12.0,2047.0,10.0
0.13,0.81,0.01,12.0,5.0,2322.0,9.0
0.01,0.95,0.0,19.0,14.0,999.0,6.0
0.0,0.99,0.0,11.0,15.0,1606.0,10.0
0.01,0.92,0.03,22.0,13.0,1560.0,7.0
0.02,0.95,0.0,18.0,5.0,2390.0,9.0
0.0,0.96,0.0,11.0,15.0,2203.0,4.0
0.0,0.97,0.0,10.0,24.0,2602.0,11.0
0.09,0.83,0.04,21.0,12.0,2831.0,11.0
0.58,0.34,0.0,26.0,4.0,5148.0,13.0
0.41,0.47,0.04,16.0,13.0,4974.0,19.0
0.0,0.81,0.0,8.0,9.0,1561.0,14.0
0.13,0.76,0.02,6.0,21.0,2519.0,25.0
0.0,0.87,0.03,8.0,10.0,1377.0,20.0
0.01,0.83,0.0,6.0,8.0,1139.0,16.0
0.05,0.79,0.0,10.0,10.0,1389.0,18.0
0.0,0.86,0.02,9.0,13.0,1427.0,12.0
0.05,0.83,0.0,10.0,21.0,1224.0,15.0
0.16,0.71,0.04,9.0,9.0,3865.0,35.0
0.12,0.73,0.01,4.0,20.0,3122.0,33.0
0.16,0.76,0.05,8.0,10.0,2989.0,30.0
0.13,0.69,0.01,6.0,1.0,1452.0,14.0
0.44,0.45,0.0,5.0,2.0,1455.0,24.0
0.46,0.44,0.06,3.0,2.0,3660.0,42.0
0.06,0.8,0.04,9.0,1.0,1621.0,53.0
0.13,0.78,0.02,2.0,3.0,4056.0,83.0
0.07,0.73,0.06,3.0,8.0,6800.0,69.0
0.09,0.77,0.08,8.0,15.0,1309.0,22.0
0.23,0.65,0.03,4.0,5.0,4731.0,42.0
0.32,0.54,0.03,6.0,5.0,460.0,7.0
0.39,0.46,0.08,6.0,11.0,1651.0,18.0
0.16,0.76,0.0,5.0,16.0,704.0,9.0
0.3,0.66,0.01,4.0,38.0,3347.0,16.0
0.91,0.08,0.0,4.0,25.0,2880.0,28.0
0.69,0.23,0.03,5.0,12.0,3008.0,25.0
0.24,0.61,0.04,6.0,4.0,746.0,8.0
0.13,0.8,0.03,16.0,6.0,288.0,22.0
0.07,0.83,0.04,20.0,12.0,265.0,12.0
0.14,0.78,0.03,8.0,4.0,1420.0,8.0
0.09,0.83,0.04,4.0,3.0,1143.0,17.0
0.12,0.8,0.04,7.0,3.0,2012.0,9.0
0.11,0.78,0.03,6.0,4.0,1208.0,9.0
0.23,0.73,0.01,6.0,12.0,1797.0,10.0
0.3,0.65,0.01,5.0,3.0,1163.0,16.0
0.23,0.71,0.02,6.0,4.0,615.0,8.0
0.03,0.89,0.04,9.0,7.0,3424.0,13.0
0.04,0.92,0.0,8.0,6.0,3667.0,17.0
0.04,0.81,0.13,8.0,11.0,3348.0,18.0
0.03,0.91,0.03,11.0,7.0,2596.0,16.0
0.05,0.93,0.0,17.0,10.0,1652.0,5.0
0.09,0.75,0.12,13.0,7.0,3790.0,20.0
0.1,0.76,0.05,7.0,9.0,4165.0,19.0
0.2,0.76,0.01,9.0,15.0,2827.0,14.0
0.07,0.69,0.19,8.0,31.0,3714.0,21.0
0.18,0.66,0.11,11.0,13.0,4060.0,35.0
0.16,0.73,0.08,5.0,2.0,3527.0,12.0
0.12,0.81,0.03,9.0,4.0,4165.0,4.0
0.13,0.78,0.05,16.0,23.0,3334.0,6.0
0.55,0.39,0.05,7.0,21.0,3434.0,13.0
0.18,0.73,0.04,16.0,5.0,5483.0,13.0
0.22,0.65,0.03,9.0,2.0,6483.0,8.0
0.64,0.34,0.0,14.0,7.0,922.0,22.0
0.66,0.32,0.01,32.0,8.0,1690.0,24.0
0.95,0.03,0.0,16.0,5.0,416.0,32.0
0.82,0.17,0.0,15.0,21.0,334.0,31.0
0.61,0.37,0.0,12.0,13.0,475.0,18.0
0.44,0.54,0.0,8.0,29.0,923.0,18.0
0.84,0.14,0.0,11.0,7.0,866.0,11.0
0.96,0.03,0.0,8.0,9.0,676.0,34.0
0.82,0.15,0.0,13.0,18.0,611.0,13.0
0.96,0.02,0.01,1.0,13.0,2095.0,35.0
0.97,0.0,0.01,5.0,41.0,1151.0,16.0
1.0,0.0,0.0,7.0,31.0,833.0,25.0
0.94,0.05,0.08,4.0,38.0,1560.0,40.0
0.97,0.0,0.0,7.0,19.0,1116.0,25.0
0.8,0.19,0.0,18.0,10.0,1006.0,30.0
0.96,0.03,0.0,15.0,15.0,480.0,26.0
0.85,0.09,0.04,7.0,29.0,2384.0,33.0
0.82,0.13,0.04,15.0,33.0,3056.0,44.0
0.72,0.15,0.07,13.0,26.0,2727.0,31.0
0.81,0.06,0.08,12.0,11.0,2700.0,31.0
0.78,0.17,0.01,12.0,5.0,2142.0,8.0
0.72,0.14,0.09,3.0,21.0,2567.0,34.0
0.77,0.15,0.02,13.0,9.0,3346.0,10.0
0.76,0.18,0.01,9.0,9.0,3441.0,7.0
0.48,0.38,0.02,22.0,22.0,3955.0,19.0
0.65,0.2,0.1,17.0,9.0,2799.0,35.0
0.61,0.23,0.13,15.0,19.0,3915.0,29.0
0.71,0.26,0.0,7.0,13.0,4322.0,22.0
0.07,0.85,0.04,12.0,20.0,2398.0,8.0
0.0,0.95,0.02,7.0,33.0,1626.0,8.0
0.02,0.84,0.05,20.0,59.0,4158.0,10.0
0.95,0.01,0.03,15.0,42.0,4858.0,62.0
0.71,0.16,0.04,9.0,7.0,5583.0,42.0
0.6,0.23,0.1,12.0,17.0,3476.0,21.0
0.11,0.68,0.13,6.0,4.0,2931.0,11.0
0.39,0.5,0.04,17.0,7.0,4614.0,18.0
0.38,0.45,0.11,11.0,25.0,4213.0,27.0
0.0,0.98,0.0,7.0,57.0,2434.0,1.0
0.02,0.9,0.03,12.0,37.0,748.0,0.0
0.0,0.86,0.01,6.0,18.0,2070.0,1.0
0.04,0.89,0.02,21.0,3.0,1086.0,5.0
0.01,0.87,0.04,3.0,9.0,1915.0,1.0
0.0,0.88,0.08,8.0,69.0,4913.0,9.0
0.45,0.25,0.24,12.0,59.0,5776.0,46.0
0.2,0.48,0.26,8.0,35.0,4698.0,31.0
0.17,0.57,0.19,4.0,41.0,4071.0,35.0
0.37,0.48,0.09,14.0,14.0,4336.0,39.0
0.38,0.16,0.41,28.0,6.0,5292.0,46.0
0.51,0.29,0.15,13.0,9.0,3870.0,27.0
0.1,0.87,0.0,15.0,17.0,4629.0,12.0
0.02,0.9,0.01,6.0,22.0,2988.0,6.0
0.1,0.82,0.01,24.0,5.0,2848.0,11.0
0.02,0.87,0.04,12.0,3.0,1657.0,4.0
0.22,0.67,0.04,21.0,2.0,3773.0,16.0
0.07,0.81,0.02,28.0,1.0,3095.0,9.0
0.03,0.87,0.03,8.0,1.0,2650.0,2.0
0.03,0.85,0.03,21.0,2.0,1769.0,1.0
0.1,0.78,0.01,11.0,3.0,2705.0,14.0
0.03,0.85,0.05,22.0,0.0,1760.0,0.0
0.51,0.42,0.09,32.0,33.0,5450.0,55.0
0.31,0.63,0.02,21.0,40.0,6310.0,20.0
0.1,0.78,0.01,12.0,8.0,2327.0,11.0
0.06,0.86,0.0,12.0,5.0,2435.0,4.0
0.08,0.87,0.0,10.0,4.0,5076.0,8.0
0.1,0.8,0.04,11.0,5.0,4764.0,14.0
0.06,0.81,0.06,9.0,5.0,3827.0,7.0
0.17,0.74,0.01,10.0,7.0,3910.0,10.0
0.3,0.6,0.02,10.0,5.0,3235.0,6.0
0.46,0.46,0.04,11.0,2.0,4093.0,8.0
0.27,0.64,0.03,9.0,3.0,4633.0,3.0
0.24,0.65,0.02,10.0,1.0,3181.0,2.0
0.43,0.41,0.06,13.0,1.0,3662.0,22.0
0.25,0.64,0.05,9.0,1.0,2995.0,5.0
0.17,0.68,0.04,12.0,1.0,2487.0,2.0
0.24,0.65,0.01,12.0,4.0,5809.0,4.0
0.29,0.6,0.06,10.0,5.0,4122.0,16.0
0.12,0.81,0.01,11.0,4.0,2067.0,5.0
0.04,0.88,0.02,18.0,1.0,1827.0,2.0
0.1,0.82,0.02,16.0,11.0,2581.0,16.0
0.1,0.76,0.04,9.0,2.0,3492.0,4.0
0.05,0.84,0.0,9.0,3.0,2283.0,7.0
0.22,0.63,0.03,7.0,1.0,2872.0,3.0
0.18,0.66,0.04,6.0,1.0,2847.0,4.0
0.28,0.59,0.05,9.0,6.0,4675.0,2.0
0.09,0.63,0.1,11.0,6.0,4024.0,14.0
0.36,0.47,0.06,24.0,14.0,1149.0,8.0
0.3,0.58,0.03,20.0,1.0,4279.0,9.0
0.02,0.86,0.04,21.0,8.0,2433.0,4.0
0.0,0.94,0.0,17.0,27.0,3780.0,17.0
0.64,0.32,0.03,9.0,18.0,1679.0,28.0
0.45,0.53,0.0,11.0,23.0,534.0,21.0
0.59,0.38,0.0,12.0,25.0,1247.0,25.0
0.68,0.31,0.0,13.0,16.0,303.0,27.0
0.47,0.52,0.0,17.0,13.0,202.0,21.0
0.36,0.62,0.0,11.0,14.0,578.0,8.0
0.0,0.95,0.02,10.0,13.0,675.0,19.0
0.0,0.96,0.01,9.0,19.0,979.0,22.0
0.04,0.94,0.0,19.0,11.0,600.0,10.0
0.04,0.89,0.04,10.0,12.0,596.0,18.0
0.04,0.92,0.0,11.0,5.0,879.0,12.0
0.0,0.97,0.01,10.0,10.0,284.0,12.0
0.08,0.81,0.06,13.0,20.0,687.0,29.0
0.04,0.92,0.01,10.0,18.0,754.0,12.0
0.0,0.93,0.02,8.0,11.0,1150.0,29.0
0.01,0.93,0.0,8.0,13.0,836.0,11.0
0.0,0.89,0.08,13.0,13.0,1293.0,13.0
0.0,0.92,0.02,9.0,8.0,1086.0,9.0
0.0,0.94,0.01,8.0,11.0,1519.0,19.0
0.0,0.92,0.03,9.0,15.0,1223.0,7.0
0.0,0.95,0.02,8.0,12.0,1695.0,17.0
0.06,0.8,0.1,11.0,14.0,1390.0,20.0
0.14,0.71,0.11,11.0,11.0,1640.0,27.0
0.02,0.81,0.07,7.0,25.0,1320.0,18.0
0.01,0.74,0.21,6.0,15.0,1972.0,27.0
0.03,0.48,0.45,7.0,15.0,1951.0,32.0
0.0,0.76,0.18,8.0,14.0,2014.0,12.0
0.07,0.66,0.25,8.0,16.0,3213.0,27.0
0.01,0.75,0.23,8.0,10.0,2240.0,17.0
0.0,0.81,0.16,7.0,16.0,2024.0,23.0
0.04,0.72,0.2,8.0,21.0,2223.0,25.0
0.02,0.88,0.09,9.0,20.0,2158.0,20.0
0.37,0.56,0.02,100.0,48.0,6800.0,25.0
0.98,0.0,0.01,79.0,48.0,3408.0,24.0
1.0,0.0,0.0,17.0,14.0,2909.0,39.0
0.95,0.01,0.0,50.0,78.0,1617.0,38.0
0.93,0.04,0.0,37.0,40.0,2028.0,34.0
0.98,0.01,0.0,21.0,47.0,2628.0,26.0
0.94,0.01,0.0,19.0,45.0,2371.0,31.0
0.9,0.07,0.01,27.0,32.0,2706.0,26.0
0.35,0.61,0.02,17.0,61.0,4268.0,21.0
0.15,0.74,0.01,20.0,83.0,3163.0,12.0
0.49,0.5,0.0,8.0,69.0,3323.0,21.0
0.49,0.44,0.0,64.0,62.0,4013.0,23.0
0.43,0.55,0.0,68.0,79.0,2602.0,17.0
0.93,0.04,0.0,100.0,3.0,4263.0,26.0
0.64,0.32,0.02,77.0,71.0,1794.0,29.0
0.99,0.0,0.0,44.0,65.0,3749.0,10.0
0.98,0.01,0.0,4.0,66.0,4116.0,15.0
0.98,0.0,0.0,10.0,67.0,3334.0,38.0
1.0,0.0,0.0,21.0,71.0,3577.0,69.0
0.6,0.34,0.01,94.0,18.0,831.0,22.0
0.51,0.4,0.0,89.0,20.0,777.0,19.0
0.56,0.35,0.02,56.0,18.0,813.0,21.0
0.24,0.72,0.02,82.0,19.0,570.0,9.0
0.82,0.14,0.0,13.0,23.0,2948.0,31.0
0.75,0.21,0.01,36.0,38.0,1844.0,40.0
0.93,0.06,0.0,41.0,41.0,1782.0,24.0
0.96,0.02,0.0,10.0,41.0,2833.0,42.0
0.81,0.14,0.03,22.0,55.0,3266.0,31.0
0.06,0.87,0.03,27.0,85.0,2745.0,11.0
0.14,0.81,0.01,32.0,81.0,2632.0,12.0
0.8,0.18,0.0,28.0,41.0,3794.0,27.0
0.85,0.11,0.01,18.0,30.0,4975.0,60.0
0.51,0.44,0.01,14.0,45.0,4029.0,20.0
0.51,0.35,0.07,21.0,22.0,4593.0,35.0
0.27,0.61,0.0,13.0,13.0,2250.0,8.0
0.12,0.7,0.04,8.0,28.0,2372.0,5.0
0.42,0.41,0.09,1.0,24.0,2184.0,22.0
0.42,0.51,0.02,9.0,26.0,1958.0,22.0
0.47,0.3,0.12,48.0,7.0,6222.0,24.0
0.72,0.14,0.04,6.0,4.0,3322.0,39.0
0.34,0.55,0.04,22.0,20.0,3934.0,16.0
0.12,0.8,0.03,11.0,29.0,2089.0,2.0
0.79,0.19,0.0,6.0,20.0,1052.0,25.0
0.85,0.14,0.0,3.0,22.0,1177.0,29.0
0.55,0.36,0.05,1.0,14.0,1533.0,5.0
0.54,0.43,0.0,4.0,33.0,1643.0,29.0
0.5,0.46,0.0,4.0,1.0,876.0,8.0
0.66,0.3,0.01,8.0,19.0,841.0,17.0
0.15,0.74,0.07,6.0,31.0,1214.0,15.0
0.0,0.95,0.0,8.0,31.0,1863.0,1.0
0.79,0.11,0.08,9.0,12.0,1657.0,33.0
0.33,0.6,0.01,0.0,0.0,3316.0,
0.15,0.67,0.1,15.0,6.0,2430.0,21.0
0.35,0.52,0.02,4.0,0.0,3158.0,27.0
0.66,0.28,0.03,4.0,5.0,1508.0,16.0
0.23,0.61,0.02,5.0,0.0,2740.0,17.0
0.17,0.71,0.04,3.0,1.0,3424.0,8.0
0.21,0.69,0.02,7.0,0.0,2107.0,11.0
0.2,0.73,0.01,3.0,2.0,2387.0,7.0
0.37,0.47,0.01,9.0,6.0,2344.0,18.0
0.25,0.67,0.02,6.0,0.0,1625.0,2.0
0.27,0.58,0.01,5.0,8.0,1724.0,12.0
0.32,0.6,0.03,8.0,13.0,1755.0,13.0
0.64,0.29,0.0,31.0,59.0,382.0,40.0
0.97,0.02,0.0,9.0,39.0,3348.0,30.0
0.98,0.0,0.0,22.0,41.0,2363.0,39.0
1.0,0.0,0.0,16.0,43.0,3628.0,20.0
0.97,0.01,0.0,16.0,65.0,2557.0,38.0
0.95,0.0,0.0,9.0,51.0,2921.0,57.0
0.96,0.02,0.05,9.0,19.0,2335.0,37.0
0.79,0.19,0.0,17.0,43.0,1284.0,55.0
0.61,0.3,0.02,11.0,41.0,3051.0,49.0
0.25,0.67,0.03,11.0,77.0,3516.0,26.0
0.41,0.51,0.01,42.0,28.0,934.0,26.0
0.15,0.79,0.0,19.0,7.0,2056.0,12.0
0.24,0.63,0.04,46.0,20.0,1649.0,14.0
0.14,0.82,0.0,22.0,8.0,954.0,16.0
0.13,0.81,0.0,16.0,4.0,255.0,12.0
0.33,0.37,0.0,11.0,10.0,280.0,19.0
0.08,0.84,0.01,11.0,10.0,103.0,14.0
0.19,0.71,0.03,7.0,24.0,191.0,26.0
0.05,0.86,0.02,6.0,12.0,472.0,15.0
0.86,0.11,0.0,8.0,13.0,737.0,17.0
0.1,0.86,0.0,9.0,7.0,97.0,17.0
0.23,0.74,0.0,9.0,4.0,384.0,10.0
0.04,0.84,0.08,8.0,4.0,405.0,16.0
0.09,0.87,0.01,6.0,3.0,494.0,20.0
0.21,0.7,0.03,5.0,2.0,953.0,10.0
0.18,0.72,0.06,10.0,6.0,1441.0,25.0
0.27,0.62,0.04,5.0,6.0,1540.0,19.0
0.21,0.73,0.05,4.0,0.0,1842.0,14.0
0.27,0.66,0.02,6.0,4.0,2521.0,15.0
0.12,0.81,0.01,4.0,0.0,1413.0,7.0
0.07,0.88,0.01,7.0,3.0,1408.0,7.0
0.11,0.81,0.02,7.0,3.0,2872.0,17.0
0.07,0.86,0.03,7.0,4.0,2290.0,13.0
0.01,0.91,0.01,10.0,5.0,1472.0,9.0
0.17,0.69,0.01,6.0,8.0,2399.0,16.0
0.14,0.64,0.06,7.0,3.0,2972.0,26.0
0.1,0.74,0.01,5.0,6.0,1223.0,3.0
0.13,0.7,0.11,4.0,8.0,1601.0,16.0
0.2,0.57,0.18,8.0,6.0,1411.0,20.0
0.17,0.7,0.09,6.0,6.0,1784.0,15.0
0.02,0.87,0.05,79.0,13.0,1496.0,10.0
0.15,0.79,0.01,4.0,8.0,1335.0,14.0
0.58,0.35,0.01,10.0,8.0,2223.0,18.0
0.06,0.85,0.03,29.0,17.0,1527.0,16.0
0.0,0.86,0.04,16.0,5.0,895.0,36.0
0.07,0.89,0.02,85.0,8.0,199.0,15.0
0.06,0.76,0.03,82.0,17.0,715.0,20.0
0.54,0.42,0.0,41.0,22.0,2849.0,12.0
0.96,0.02,0.0,20.0,56.0,3857.0,33.0
0.98,0.0,0.0,14.0,49.0,4240.0,43.0
0.99,0.0,0.0,18.0,60.0,3429.0,31.0
,,,,0.0,26.0,
0.72,0.26,0.0,14.0,14.0,188.0,40.0
0.58,0.4,0.0,23.0,11.0,268.0,39.0
0.79,0.2,0.01,11.0,7.0,148.0,34.0
0.48,0.46,0.0,8.0,12.0,753.0,18.0
0.51,0.47,0.0,7.0,10.0,805.0,28.0
0.22,0.73,0.0,8.0,14.0,2489.0,28.0
0.11,0.82,0.0,21.0,16.0,1117.0,31.0
0.39,0.45,0.12,3.0,66.0,6762.0,24.0
0.75,0.23,0.0,5.0,62.0,5956.0,29.0
0.74,0.15,0.04,17.0,33.0,3365.0,36.0
0.57,0.33,0.05,1.0,62.0,2175.0,41.0
0.43,0.47,0.07,4.0,75.0,3699.0,21.0
0.94,0.02,0.02,9.0,41.0,5616.0,62.0
0.79,0.18,0.01,16.0,79.0,4250.0,31.0
0.24,0.55,0.13,5.0,71.0,3419.0,0.0
0.87,0.08,0.0,34.0,46.0,3753.0,55.0
0.98,0.0,0.0,9.0,47.0,3589.0,52.0
0.97,0.01,0.0,13.0,60.0,4273.0,59.0
0.63,0.32,0.03,2.0,76.0,2874.0,23.0
0.19,0.75,0.03,7.0,74.0,2458.0,10.0
0.72,0.24,0.02,10.0,60.0,4181.0,44.0
0.54,0.32,0.11,11.0,71.0,3918.0,31.0
0.16,0.8,0.0,15.0,40.0,2702.0,8.0
0.42,0.52,0.04,7.0,75.0,3605.0,13.0
0.21,0.69,0.03,7.0,49.0,2498.0,15.0
0.29,0.62,0.05,7.0,34.0,2825.0,16.0
0.8,0.16,0.0,12.0,63.0,2869.0,32.0
0.96,0.02,0.0,14.0,70.0,2676.0,34.0
1.0,0.0,0.0,4.0,61.0,1998.0,30.0
1.0,0.0,0.0,9.0,48.0,2915.0,35.0
0.99,0.0,0.0,7.0,54.0,3591.0,25.0
0.65,0.16,0.11,6.0,21.0,4293.0,21.0
0.25,0.65,0.02,11.0,12.0,4035.0,6.0
0.32,0.64,0.0,10.0,6.0,2632.0,5.0
0.71,0.19,0.02,10.0,5.0,5302.0,22.0
0.93,0.03,0.02,8.0,8.0,3037.0,27.0
0.87,0.1,0.02,10.0,27.0,2517.0,34.0
0.92,0.05,0.0,8.0,16.0,3147.0,25.0
0.9,0.04,0.0,3.0,6.0,1600.0,21.0
0.44,0.53,0.0,10.0,4.0,3862.0,8.0
0.66,0.27,0.0,14.0,1.0,4588.0,16.0
0.76,0.18,0.01,16.0,12.0,2463.0,7.0
0.91,0.07,0.0,7.0,28.0,2086.0,27.0
0.3,0.43,0.11,0.0,16.0,4754.0,0.0
0.42,0.37,0.17,12.0,3.0,3910.0,20.0
0.68,0.2,0.06,9.0,2.0,4279.0,21.0
0.78,0.17,0.03,11.0,1.0,4384.0,23.0
0.22,0.64,0.01,13.0,0.0,3669.0,8.0
0.43,0.48,0.01,31.0,1.0,3300.0,5.0
0.47,0.47,0.01,11.0,1.0,1999.0,2.0
0.54,0.39,0.02,16.0,2.0,4121.0,11.0
0.74,0.16,0.0,7.0,2.0,4309.0,41.0
0.66,0.28,0.01,9.0,3.0,1695.0,11.0
0.48,0.44,0.04,9.0,0.0,2057.0,14.0
0.23,0.65,0.0,6.0,1.0,2250.0,2.0
0.14,0.83,0.0,8.0,0.0,1254.0,3.0
0.74,0.03,0.21,8.0,1.0,2335.0,33.0
0.38,0.56,0.0,14.0,3.0,1323.0,3.0
0.71,0.22,0.04,10.0,0.0,3436.0,3.0
0.91,0.08,0.0,15.0,5.0,4587.0,25.0
0.25,0.46,0.0,7.0,0.0,3650.0,1.0
0.14,0.76,0.01,7.0,2.0,1945.0,0.0
0.6,0.24,0.0,12.0,0.0,2669.0,10.0
0.63,0.25,0.09,14.0,13.0,730.0,20.0
0.28,0.5,0.01,3.0,0.0,3141.0,11.0
0.43,0.38,0.03,6.0,0.0,1834.0,5.0
0.31,0.67,0.0,11.0,6.0,254.0,24.0
0.33,0.64,0.0,12.0,13.0,320.0,14.0
0.42,0.46,0.07,12.0,11.0,1527.0,19.0
0.98,0.0,0.01,8.0,6.0,2221.0,32.0
0.31,0.38,0.25,15.0,13.0,1972.0,22.0
0.97,0.01,0.0,4.0,3.0,1763.0,24.0
0.26,0.48,0.23,32.0,45.0,3883.0,32.0
0.0,0.91,0.04,70.0,23.0,2188.0,8.0
0.12,0.76,0.12,50.0,33.0,3784.0,8.0
0.16,0.7,0.11,31.0,71.0,4404.0,9.0
0.66,0.13,0.2,55.0,32.0,2873.0,51.0
0.45,0.21,0.31,29.0,28.0,2809.0,35.0
0.29,0.44,0.21,21.0,17.0,3786.0,20.0
