Percent Black or African American alone,Percent White,Percent Hispanic or Latino,Share of properties at risk of flood in 30 years,Percent pre-1960s housing (lead paint indicator),Share of the tract's land area that is covered by impervious surface or cropland as a percent,Percent of individuals < 100% Federal Poverty Line
0.17,0.63,0.13,11.0,9.0,2912.0,20.0
0.12,0.84,0.01,8.0,12.0,3419.0,13.0
0.25,0.63,0.04,5.0,12.0,3903.0,22.0
0.5,0.47,0.0,22.0,12.0,1086.0,13.0
0.28,0.71,0.0,48.0,4.0,1315.0,28.0
0.24,0.73,0.01,11.0,13.0,371.0,17.0
0.92,0.06,0.0,9.0,28.0,1258.0,43.0
0.9,0.06,0.0,75.0,38.0,3462.0,50.0
0.96,0.02,0.0,85.0,37.0,3718.0,51.0
0.86,0.12,0.03,23.0,76.0,4168.0,22.0
0.45,0.47,0.05,58.0,6.0,1447.0,16.0
0.59,0.39,0.0,57.0,56.0,1967.0,25.0
0.72,0.22,0.0,23.0,34.0,2052.0,36.0
0.84,0.13,0.02,30.0,15.0,1489.0,39.0
0.68,0.25,0.09,25.0,31.0,907.0,13.0
0.72,0.24,0.01,23.0,5.0,2112.0,19.0
0.96,0.01,0.0,96.0,10.0,1453.0,28.0
0.84,0.14,0.0,35.0,24.0,1966.0,22.0
0.0,0.92,0.0,6.0,15.0,1837.0,14.0
0.01,0.88,0.06,6.0,19.0,1886.0,18.0
0.01,0.82,0.11,6.0,10.0,2237.0,27.0
0.01,0.92,0.03,7.0,20.0,2076.0,15.0
0.0,0.94,0.03,5.0,13.0,2356.0,16.0
0.0,0.89,0.07,6.0,21.0,2108.0,20.0
0.0,0.64,0.32,6.0,19.0,2188.0,20.0
0.03,0.62,0.3,17.0,17.0,1160.0,27.0
0.06,0.73,0.13,15.0,18.0,924.0,24.0
0.0,0.9,0.08,9.0,21.0,1129.0,16.0
0.01,0.84,0.12,13.0,33.0,1370.0,16.0
0.01,0.76,0.16,15.0,3.0,967.0,3.0
0.02,0.6,0.33,12.0,13.0,486.0,35.0
0.0,0.82,0.15,12.0,18.0,469.0,25.0
0.22,0.75,0.0,15.0,14.0,2112.0,9.0
0.08,0.91,0.0,18.0,16.0,237.0,7.0
0.17,0.82,0.0,15.0,15.0,175.0,9.0
0.19,0.75,0.05,7.0,17.0,1471.0,12.0
0.09,0.85,0.01,5.0,16.0,554.0,8.0
0.27,0.71,0.0,8.0,7.0,537.0,15.0
0.13,0.82,0.01,7.0,6.0,1546.0,5.0
0.1,0.86,0.0,10.0,5.0,552.0,2.0
0.38,0.55,0.01,13.0,24.0,2088.0,15.0
0.21,0.74,0.02,2.0,1.0,1438.0,1.0
0.23,0.68,0.06,9.0,5.0,1395.0,12.0
0.25,0.61,0.09,6.0,3.0,1336.0,22.0
0.14,0.76,0.05,6.0,8.0,1677.0,9.0
0.45,0.45,0.02,23.0,8.0,1328.0,24.0
0.29,0.57,0.06,29.0,6.0,1596.0,20.0
0.23,0.7,0.05,11.0,11.0,373.0,18.0
0.06,0.87,0.03,10.0,11.0,650.0,14.0
0.21,0.68,0.05,6.0,9.0,676.0,13.0
0.74,0.25,0.0,17.0,23.0,1669.0,37.0
0.15,0.78,0.01,12.0,12.0,989.0,32.0
0.36,0.42,0.01,10.0,11.0,2557.0,15.0
0.36,0.59,0.01,9.0,5.0,2222.0,29.0
0.64,0.35,0.0,15.0,15.0,4056.0,33.0
0.34,0.59,0.0,12.0,21.0,4895.0,16.0
0.47,0.46,0.03,22.0,36.0,1406.0,26.0
0.71,0.26,0.02,10.0,52.0,2480.0,40.0
0.08,0.85,0.0,9.0,37.0,892.0,17.0
0.12,0.78,0.05,11.0,81.0,2167.0,34.0
0.08,0.74,0.12,11.0,69.0,4036.0,36.0
0.37,0.52,0.05,14.0,49.0,5315.0,50.0
0.43,0.29,0.26,9.0,79.0,5438.0,42.0
0.23,0.75,0.0,17.0,56.0,3356.0,14.0
0.56,0.26,0.15,13.0,80.0,3202.0,38.0
0.08,0.89,0.0,26.0,20.0,1519.0,3.0
0.1,0.75,0.1,26.0,63.0,4184.0,15.0
0.42,0.38,0.12,30.0,52.0,4255.0,39.0
0.69,0.28,0.0,19.0,51.0,1811.0,24.0
0.46,0.42,0.07,10.0,38.0,2893.0,30.0
0.19,0.67,0.07,18.0,47.0,778.0,16.0
0.15,0.79,0.03,12.0,29.0,1922.0,10.0
0.06,0.88,0.0,16.0,41.0,542.0,18.0
0.15,0.67,0.06,20.0,3.0,2668.0,20.0
0.02,0.92,0.04,27.0,5.0,1022.0,5.0
0.0,0.95,0.01,23.0,4.0,1577.0,7.0
0.0,0.96,0.0,12.0,18.0,787.0,6.0
0.01,0.96,0.01,22.0,20.0,1218.0,8.0
0.0,0.98,0.0,16.0,18.0,1724.0,14.0
0.11,0.83,0.04,23.0,11.0,1665.0,9.0
0.04,0.94,0.0,13.0,20.0,349.0,15.0
0.02,0.95,0.01,22.0,18.0,825.0,13.0
0.0,0.93,0.0,10.0,14.0,1290.0,17.0
0.0,0.94,0.02,10.0,18.0,913.0,14.0
0.0,0.95,0.0,12.0,15.0,785.0,19.0
0.65,0.25,0.19,9.0,66.0,4463.0,29.0
0.01,0.98,0.0,17.0,20.0,253.0,22.0
0.03,0.94,0.0,15.0,18.0,846.0,16.0
0.19,0.76,0.0,14.0,29.0,1063.0,14.0
0.23,0.72,0.04,16.0,24.0,362.0,26.0
0.01,0.92,0.02,11.0,14.0,302.0,18.0
0.05,0.76,0.18,8.0,11.0,1499.0,13.0
0.09,0.51,0.36,5.0,33.0,1056.0,18.0
0.0,0.89,0.09,10.0,15.0,303.0,7.0
0.11,0.46,0.41,10.0,6.0,661.0,23.0
0.07,0.65,0.28,8.0,16.0,860.0,25.0
0.0,0.9,0.01,12.0,17.0,752.0,33.0
0.0,0.99,0.0,10.0,24.0,1082.0,15.0
0.0,0.98,0.0,9.0,22.0,375.0,18.0
0.0,0.96,0.02,5.0,14.0,656.0,19.0
0.04,0.84,0.04,12.0,20.0,2478.0,28.0
0.05,0.88,0.04,9.0,17.0,2906.0,10.0
0.14,0.79,0.04,13.0,24.0,2470.0,34.0
0.15,0.81,0.01,9.0,28.0,3433.0,20.0
0.09,0.81,0.05,6.0,20.0,3379.0,19.0
0.02,0.92,0.03,5.0,11.0,3820.0,10.0
0.83,0.07,0.07,27.0,16.0,317.0,38.0
0.76,0.21,0.0,11.0,29.0,467.0,33.0
0.82,0.16,0.0,28.0,9.0,529.0,45.0
0.36,0.61,0.0,14.0,9.0,206.0,13.0
0.36,0.63,0.0,26.0,17.0,452.0,20.0
0.4,0.59,0.0,13.0,22.0,121.0,14.0
0.82,0.17,0.0,32.0,11.0,315.0,21.0
0.72,0.26,0.0,11.0,20.0,1002.0,29.0
0.71,0.28,0.0,12.0,24.0,1438.0,44.0
0.46,0.5,0.0,11.0,18.0,842.0,17.0
0.44,0.48,0.04,4.0,30.0,1622.0,24.0
0.25,0.7,0.03,12.0,7.0,1129.0,18.0
0.21,0.77,0.0,8.0,22.0,3446.0,14.0
0.22,0.73,0.01,6.0,24.0,5445.0,5.0
0.04,0.9,0.04,12.0,27.0,3172.0,15.0
0.05,0.91,0.0,7.0,7.0,3605.0,7.0
0.09,0.8,0.03,6.0,0.0,2733.0,7.0
0.09,0.82,0.03,9.0,1.0,3411.0,5.0
0.4,0.51,0.02,8.0,10.0,3449.0,17.0
0.4,0.44,0.09,5.0,0.0,4661.0,24.0
0.13,0.83,0.0,8.0,58.0,3084.0,7.0
0.17,0.77,0.03,12.0,32.0,3114.0,14.0
0.84,0.12,0.0,5.0,63.0,5383.0,53.0
0.43,0.42,0.08,12.0,36.0,2810.0,21.0
0.15,0.73,0.06,6.0,4.0,3039.0,19.0
0.27,0.66,0.03,11.0,5.0,3393.0,11.0
0.67,0.28,0.01,11.0,22.0,3401.0,33.0
0.31,0.59,0.04,9.0,27.0,3281.0,24.0
0.65,0.31,0.03,1.0,55.0,4543.0,52.0
0.75,0.19,0.01,7.0,33.0,3136.0,40.0
0.74,0.24,0.0,6.0,26.0,5002.0,28.0
0.29,0.63,0.03,9.0,9.0,3740.0,20.0
0.12,0.83,0.0,12.0,30.0,3110.0,25.0
0.31,0.66,0.01,16.0,12.0,3203.0,18.0
0.14,0.79,0.04,9.0,16.0,4292.0,14.0
0.1,0.84,0.02,13.0,13.0,3425.0,17.0
0.1,0.85,0.01,7.0,8.0,3334.0,14.0
0.0,0.95,0.0,8.0,12.0,1151.0,17.0
0.04,0.86,0.07,17.0,29.0,1751.0,27.0
